"id","contest_id","file_type","observations","status","upload_date","user_email","user_id","user_name"
"44d409a3-4d12-434d-b820-43b7557630f0","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:47:56.461181+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"39c02d18-ac0b-4af7-ab71-e037b4b2c877","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","converted","2022-05-13T03:45:59.107952+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"53833347-3e32-4595-8297-52b15aeb10e4","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:30.669649+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"f96cc099-f3fe-4431-8584-7bcaf6de68c2","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","converted","2022-05-13T03:46:02.626726+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"611a28f2-0831-43b7-bcd1-1f2dc579b850","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:47:59.587466+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"d1a83d8a-6281-489c-9af8-4091c9fdb984","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:28.405387+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"a8fc293b-d8d6-412c-8d2e-c00df0323879","5c142844-6255-4f6d-bf3e-8c689523d700","mp3","asdfsdaf","processing","2022-05-13T03:46:48.541238+0000","jonatan@yopmail.com","1","Jonatan Hernandez"
"89c738f4-3d9f-435d-bd2f-410484ec9383","932d494c-a290-4c94-a4bf-3a2b7700f5e4","wav","this is a test","processing","2022-05-13T04:10:40.525236+0000","prueba@yopmail.com","69","Carlos Salazar"
"7a04221c-14c1-4583-9cb2-228db743311c","f5d72ee1-b0c3-464a-b8bd-244456a4095d","wav","Observations","converted","2022-05-14T00:46:33.149655+0000","dcamibv2@gmail.com","92","David Bonilla"
"f7fc9e71-2268-4972-9a62-1d22f42ff164","2a0532eb-0c31-456f-9307-be6f82453038","mp3","asdfsdaf","processing","2022-05-14T00:37:57.413663+0000","jonatan1@yopmail.com","2","Jonatan Hernandez"
"b5780e04-1082-4b4e-99bd-8b55e700b765","2a0532eb-0c31-456f-9307-be6f82453038","wav","probanding","converted","2022-05-14T00:45:25.208650+0000","jajq@yopmail.com","91","Carlos Probando"
